"2024-05-18 14:35:01 -0700","HKQuantityTypeIdentifierHeight","cm","167"
"2024-05-18 14:35:01 -0700","HKQuantityTypeIdentifierBodyMass","kg","84"
"2024-09-27 20:29:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:34 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","75"
"2024-09-27 20:34:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","75"
"2024-09-27 20:34:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-27 20:34:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","78"
"2024-09-27 20:34:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 20:34:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","78"
"2024-09-27 20:34:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:34:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:34:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:34:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-27 20:34:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:34:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-27 20:34:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 20:34:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:34:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 20:34:53 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 20:34:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","76"
"2024-09-27 20:34:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","76"
"2024-09-27 20:34:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-27 20:34:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-27 20:34:58 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
"2024-09-27 20:34:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:35:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-27 20:31:29 -0700","HKQuantityTypeIdentifierHeartRate","count/min","82"
"2024-09-27 20:35:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-27 20:53:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 20:56:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","77"
"2024-09-27 21:02:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","75.5792"
"2024-09-27 21:02:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-27 21:05:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 21:14:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-27 21:15:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-27 21:21:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-27 21:27:04 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
